사업장명,소재지지번주소,소재지도로명주소,위도,경도
GOTO 서현,경기도 성남시 분당구 서현동 269-5 서원프라자 301호,"경기도 성남시 분당구 분당로53번길 11, 301호 (서현동,서원프라자)",37.38406952,127.1215493
루다피티,경기도 성남시 분당구 서현동 260-6 웰빙프라자 401-2호,"경기도 성남시 분당구 황새울로 337, 401-2호 (서현동)",37.3862897,127.1224193
머슬짐,경기도 성남시 분당구 서현동 247-2 301호,"경기도 성남시 분당구 황새울로360번길 24 (서현동, 대명코아)",37.38599236,127.12529
더 아지트 짐&필라테스,"경기도 성남시 분당구 수내동 20-5번지 401,402호","경기도 성남시 분당구 백현로101번길 13, 401,402호 (수내동)",37.3771445,127.1120707
(주)뱅가드,경기도 성남시 분당구 서현동 267-3번지 12층 ,"경기도 성남시 분당구 분당로 43, 12층 (서현동)",37.38407441,127.1202615
티박스골프(바이칼휘트니스),경기도 성남시 분당구 서현동 93 ,"경기도 성남시 분당구 중앙공원로40번길 4, B101,B102호 (서현동, 현대카스올림픽골프파크)",37.38035372,127.1294183
Better move (베러무브),경기도 성남시 분당구 금곡동 192 분당두산위브 109동 413호,"경기도 성남시 분당구 정자일로 55, 109동 413호 (금곡동, 분당두산위브)",37.35443407,127.1055964
에스핏(SFIT)2호점,경기도 성남시 분당구 야탑동 366-1번지 관보골든쇼핑스포츠빌딩 510호,"경기도 성남시 분당구 성남대로916번길 5, 510호 (야탑동, 관보골든쇼핑스포츠빌딩)",37.4115543,127.1298206
스포츠 타이틀,경기도 성남시 분당구 정자동 23-1번지 지파크프라자 304호,"경기도 성남시 분당구 정자일로 192 (정자동, 지파크프라자 304호)",37.3673107,127.1062427
KRAZY FIT,경기도 성남시 분당구 정자동 23-1 지.파크프라자 ,"경기도 성남시 분당구 정자일로 192, 지.파크프라자 505호 (정자동)",37.36738025,127.1062966
