사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
원마을세탁,경기도 성남시 분당구 판교동 585번지 판교원마을 주상가동 204호 ,"경기도 성남시 분당구 서판교로 29 (판교동, 판교원마을 주상가동 204호)",37.3899434,127.0962462,일반세탁업
월드세탁,경기도 성남시 분당구 삼평동 718번지 봇들마을 B상가동 2층 203호 ,"경기도 성남시 분당구 동판교로 226 (삼평동,봇들마을 B상가동 2층 203호)",37.4034214,127.1179027,일반세탁업
월드세탁소,경기도 성남시 분당구 구미동 77번지 까치마을 상가동101호 ,"경기도 성남시 분당구 미금로 184 (구미동,까치마을 상가동101호)",37.3500643,127.1170764,일반세탁업
위브크리닝,경기도 성남시 분당구 금곡동 192번지 두산위브아파트상가104-101호 ,"경기도 성남시 분당구 정자일로 55 (금곡동,두산위브아파트상가104-101호)",37.3552561,127.1051539,일반세탁업
유천화인 컴퓨터 세탁,경기도 성남시 분당구 금곡동 180번지 청솔마을유천화인A단지내상가108호 ,"경기도 성남시 분당구 정자일로 46 (금곡동,청솔마을유천화인A단지내상가108호)",37.354146,127.1072404,일반세탁업
인텔리지세탁소,경기도 성남시 분당구 정자동 24번지 분당인텔리지2  208.208-1호 ,"경기도 성남시 분당구 정자일로 177 (정자동,분당인텔리지2  208.208-1호)",37.3660861,127.1053492,일반세탁업
임광로얄세탁소,경기도 성남시 분당구 서현동 292번지 효자촌임광A분산상가101호 ,"경기도 성남시 분당구 불정로 397 (서현동,효자촌임광A분산상가101호)",37.3763074442,127.1374837459,일반세탁업
장안세탁소,경기도 성남시 분당구 서현동 96번지 시범단지우성아파트 ,"경기도 성남시 분당구 중앙공원로 54, 233동 1층 2호 (서현동, 시범단지우성아파트)",37.3801423,127.1324887,일반세탁업
정자세탁소,경기도 성남시 분당구 정자동 162-2번지 정자동3차 푸르지오 시티 ,"경기도 성남시 분당구 정자일로 135, 정자동3차 푸르지오 시티 D동 1층 122호 (정자동)",37.3621488,127.1051632,일반세탁업
제일세탁소,경기도 성남시 분당구 수내동 55번지 파크타운 분산상가동 1층 10호 ,"경기도 성남시 분당구 내정로 152 (수내동,파크타운 분산상가동 1층 10호)",37.3717861,127.1187689,일반세탁업
제일세탁소,경기도 성남시 분당구 구미동 243번지 무지개마을분산상가105호 ,"경기도 성남시 분당구 구미로144번길 7 (구미동,무지개마을분산상가105호)",37.3416503,127.1246246,일반세탁업
주공세탁소,경기도 성남시 분당구 구미동 112-2번지 하얀마을 6단지 상가 105호 일부 ,"경기도 성남시 분당구 미금일로 55 (구미동,하얀마을 6단지 상가 105호 일부)",37.3456706,127.1136276,일반세탁업
준베스트,"경기도 성남시 분당구 수내동 8-5번지 맛자랑,멋자랑 112호 ","경기도 성남시 분당구 수내로46번길 20 (수내동,맛자랑,멋자랑 112호)",37.379835,127.1158231,일반세탁업
진흥세탁소,경기도 성남시 분당구 이매동 111번지 진흥상가204호 ,"경기도 성남시 분당구 양현로 138 (이매동,진흥상가204호)",37.3959159,127.1269032,일반세탁업
청구세탁소,경기도 성남시 분당구 이매동 123번지 이매촌상가동207호 ,"경기도 성남시 분당구 양현로94번길 29 (이매동,이매촌상가동207호)",37.3922758,127.1269311,일반세탁업
청구세탁소,경기도 성남시 분당구 수내동 36번지 청구분산상가 106호 ,"경기도 성남시 분당구 내정로 185 (수내동,청구분산상가 106호)",37.3756415,127.1197458,일반세탁업
청구세탁소,경기도 성남시 분당구 구미동 211번지 무지개마을 청구상가 1층101호 ,"경기도 성남시 분당구 미금로 23 (구미동,무지개마을 청구상가 1층101호)",37.3350898,127.1167152,일반세탁업
청화세탁소,경기도 성남시 분당구 야탑동 217번지 매화마을청구빌라분산상가1층101호 ,"경기도 성남시 분당구 벌말로50번길 9 (야탑동, 매화마을청구빌라분산상가1층101호)",37.4124173,127.1396831,일반세탁업
초이스세탁소,경기도 성남시 분당구 구미동 110-1 하얀마을 분산상가 102호 ,"경기도 성남시 분당구 미금일로 19 (구미동,하얀마을 분산상가 102호)",37.3463068201,127.1175614994,일반세탁업
코오롱 세탁 연구소,경기도 성남시 분당구 금곡동 210 코오롱트리폴리스 105호 ,"경기도 성남시 분당구 정자일로 1 (금곡동,코오롱트리폴리스 105호)",37.3507918311,127.1054009357,일반세탁업
코오롱세탁,경기도 성남시 분당구 야탑동 330번지 장미마을분산상가 197동 106호,"경기도 성남시 분당구 장미로 55, 197동 106호 (야탑동,장미마을분산상가)",37.4153861,127.1274662,일반세탁업
크린팩토리,경기도 성남시 분당구 운중동 931번지 ,"경기도 성남시 분당구 운중로138번길 28-8, 1층 일부(102호) (운중동)",37.3909754,127.07661,일반세탁업
클로버세탁,경기도 성남시 분당구 운중동 921번지 산운마을상가동 1층 104호 ,"경기도 성남시 분당구 판교원로 46 (운중동, 산운마을상가동 1층 104호)",37.3889781,127.0717412,일반세탁업
타워크린월드(맵시),경기도 성남시 분당구 정자동 6번지 파크뷰분산상가 3호일부 ,"경기도 성남시 분당구 정자일로 248 (정자동,파크뷰분산상가 3호일부)",37.3746444,127.1067946,일반세탁업
태영명품세탁소,경기도 성남시 분당구 운중동 918번지 산운마을 상가동 103호 ,"경기도 성남시 분당구 판교원로82번길 30 (운중동, 산운마을 상가동 103호)",37.3864636,127.0728342,일반세탁업
터치명품세탁소,경기도 성남시 분당구 정자동 11 아이파크분당3 ,"경기도 성남시 분당구 정자일로213번길 5, 301동 219호 (정자동, 아이파크분당3)",37.36900928,127.1055540047,일반세탁업
토탈크리닝,경기도 성남시 분당구 정자동 102-1번지 한솔마을 근린상가 104호 ,"경기도 성남시 분당구 백현로 206 (정자동,한솔마을 근린상가 104호)",37.3682817,127.1181878,일반세탁업
파라곤세탁소,경기도 성남시 분당구 정자동 17-2번지 백궁동양파라곤 109호 ,"경기도 성남시 분당구 느티로 22 (정자동,백궁동양파라곤 109호)",37.3680847,127.1071581,일반세탁업
파크뷰명품세탁,경기도 성남시 분당구 정자동 6번지 분산상가 1호 ,"경기도 성남시 분당구 정자일로 248 (정자동,분산상가 1호)",37.3746444,127.1067946,일반세탁업
판교세탁,경기도 성남시 분당구 삼평동 659번지 판교 효성 해링턴 타워 116 ,"경기도 성남시 분당구 판교역로192번길 22 (삼평동, 판교 효성 해링턴 타워 116)",37.3979489,127.1119653,일반세탁업
판교세탁소,경기도 성남시 분당구 판교동 562-4번지 1층 일부 ,"경기도 성남시 분당구 서판교로58번길 4 (판교동,1층 일부)",37.3918158,127.0983151,일반세탁업
